timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,807645,1,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
1,835916,2,33 Hayden Ave,/Alewife Shuttle Route A
1,835917,3,55/65 Hayden Ave,/Alewife Shuttle Route A
1,835918,4,92 Hayden Ave,/Alewife Shuttle Route A
1,835919,5,100 Hayden Ave,/Alewife Shuttle Route A
1,835920,6,95 Hayden Ave,/Alewife Shuttle Route A
1,835921,7,125 Spring Street,/Alewife Shuttle Route A
1,835922,8,300 Shire Way,/Alewife Shuttle Route A
1,835923,9,500 Shire Way,/Alewife Shuttle Route A
1,835924,10,191 Spring St,/Alewife Shuttle Route A
1,835925,11,1601 Trapelo Rd,/Alewife Shuttle Route A
1,835926,12,404 Wyman St,/Alewife Shuttle Route A
1,835927,13,590 Lincoln St,/Alewife Shuttle Route A
1,835928,14,235 Wyman St,/Alewife Shuttle Route A
1,835929,15,275 Wyman St,"/Alewife Shuttle Route A, /Waltham Shuttle Route A"
1,835931,16,225 Wyman St,/Alewife Shuttle Route A
1,807645,17,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
2,835924,1,191 Spring St,/Alewife Shuttle Route A
2,835923,2,500 Shire Way,/Alewife Shuttle Route A
2,835922,3,300 Shire Way,/Alewife Shuttle Route A
2,835921,4,125 Spring Street,/Alewife Shuttle Route A
2,835920,5,95 Hayden Ave,/Alewife Shuttle Route A
2,835919,6,100 Hayden Ave,/Alewife Shuttle Route A
2,835918,7,92 Hayden Ave,/Alewife Shuttle Route A
2,835917,8,55/65 Hayden Ave,/Alewife Shuttle Route A
2,835916,9,33 Hayden Ave,/Alewife Shuttle Route A
2,807645,10,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
2,835924,11,191 Spring St,/Alewife Shuttle Route A
3,807645,1,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
3,835935,2,75 Third Ave,/Alewife Shuttle Route B
3,835936,3,78 Fourth Ave,/Alewife Shuttle Route B
3,835937,4,77 City Point (77 Fourth Ave),/Alewife Shuttle Route B
3,835938,5,230 City Point (230 Third Ave),/Alewife Shuttle Route B
3,835939,6,400 Fifth Ave,/Alewife Shuttle Route B
3,835940,7,100 Fifth Ave,/Alewife Shuttle Route B
3,835941,8,10 City Point (500 Totten Pond Road),/Alewife Shuttle Route B
4,835935,1,75 Third Ave,/Alewife Shuttle Route B
4,835940,2,100 Fifth Ave,/Alewife Shuttle Route B
4,835939,3,400 Fifth Ave,/Alewife Shuttle Route B
4,835938,4,230 City Point (230 Third Ave),/Alewife Shuttle Route B
4,835937,5,77 City Point (77 Fourth Ave),/Alewife Shuttle Route B
4,835936,6,78 Fourth Ave,/Alewife Shuttle Route B
4,835941,7,10 City Point (500 Totten Pond Road),/Alewife Shuttle Route B
4,807645,8,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
4,835935,9,75 Third Ave,/Alewife Shuttle Route B
5,807645,1,Alewife Station,"/Alewife Shuttle Route A, /Alewife Shuttle Route B, /Alewife Shuttle Route C, /Alewife Shuttle Route D, The Rev/Hartwell Area Shuttle (AM), The Rev/Hartwell Area Shuttle (PM)"
5,835951,2,153 Second Ave,"/Alewife Shuttle Route C, /Waltham Shuttle Route B"
5,835953,3,275 Second Ave,/Alewife Shuttle Route C
5,835954,4,60 Hickory Drive,"/Alewife Shuttle Route C, /Waltham Shuttle Route B"
5,835956,5,200 West Street,/Alewife Shuttle Route C
